status_id,screen_name,text,source,reply_to_status_id,reply_to_screen_name,is_retweet,favourites_count,retweet_count,country_code,followers_count,friends_count,verified,lang
1253836118405058561,SylvesterTurner,"As we prepare for the first #Iftar dinner this evening, we are mindful of the challenging times we are in and the barriers that have been thrown amongst us.

#Ramadan's blessings are beyond our #COVID19 challenges by allowing us to be together spiritually in worship and prayers. https://t.co/PVs6FELDDJ",Twitter Ads,,,False,8153,16,,115063,1700,True,en
1253836117624807424,NEJM,Covid-19 Case Notes: Transforming ORs into ICUs. #COVID19,Twitter for Advertisers,,,False,1019,32,,702075,395,True,en
1253836117503172609,antonioguterres,"#COVID19 does not discriminate, but its impact does - exposing deep weaknesses in the delivery of public services and structural inequalities that impede access to them.

The response to this crisis must be inclusive, equitable and universal. 

https://t.co/opCYp85Qwa",TweetDeck,,,False,25,130,,907430,196,True,en
1253836118350426112,OurRevolution,"“Immigrant farmworkers are living and working in crowded conditions without sick leave, space to quarantine, or a nearby hospital.” #GoodJobsForAll #Coronavirus
https://t.co/ywYFxHANU2",TweetDeck,,,False,1278,26,,143704,1464,True,en
1253836124797251585,cnalive,"Elective surgeries, including abortions, are now permitted in Texas. But pro-life groups say abortion clinics in the state should not be able to operate while supplies are needed to fight the #coronavirus https://t.co/CgbAZzCyFv",Auto tweets,,,False,4355,12,,338102,26831,True,en
1253836173450985472,CGTNOfficial,"#China reported 12 new confirmed #COVID19 cases on Friday, 11 of which were imported, according to the National Health Commission on Saturday.
 
China's total infections have reached 82,816, with 4,632 deaths; 77,346 people have recovered and been discharged. https://t.co/ulSU98fX5C",Twitter Web App,,,False,68,13,,14011020,65,True,en
1253836171177627649,erumors,"Self-styled ""archbishop"" Mark Grenon has been touting bleach as a phony cure for various ailments for some time -- to the point that @TheJusticeDept had to step in to stop him from selling it as a #coronavirus treatment, which happened just this month:

https://t.co/NWD2ahy948",TweetDeck,,,False,130,10,,5344,3,False,en
1253836191511830528,wef,Green zones: a mathematical proposal for how to exit from the COVID-19 lockdown https://t.co/VA9w1xiU9Z #coronavirus https://t.co/I8A8XANLnX,Buffer,,,False,1784,55,,3755068,489,True,en
1253836369392173058,RevDrBarber,"#COVID19 cases are quickly emerging at poultry processing plants in Central NC. Companies like @Mountaire_Farms aren't being transparent about the number of cases, putting rural &amp; immigrant communities at risk.

Sign the petition: https://t.co/Qgp4EnN8G6

https://t.co/KixHIxAJPk",Twitter for Advertisers,,,False,3464,67,,248714,1425,True,en
1253836438233374720,TomthunkitsMind,"TRUMP NEEDS TO TAKE A MONTH OFF &amp; PLAY GOLF:
“We need truth. We need the facts. We need testing. And we need them now. We needed them a week ago. And Donald Trump should take the next month off and golf, while someone else handles it.” #CORONAVIRUS https://t.co/q4tI0pZsxn 01",The Social Jukebox,,,False,22438,10,,70280,66765,False,en
