status_id,screen_name,text,source,reply_to_status_id,reply_to_screen_name,is_retweet,favourites_count,retweet_count,country_code,followers_count,friends_count,verified,lang
1254560893209210880,RT_com,"Police drones monitor #Madrid park as children are out for 1st time in 6 weeks 

#COVID19 https://t.co/DPTQJSFcPE",Twitter Media Studio,,,False,978,63,,3076792,561,True,en
1254560893708328961,CNYCentral,"THANK YOU!: @JJB_Foundation has raised $550,000 (and counting) towards #COVID19 relief in Central New York! #BoeheimBall 
https://t.co/IcutuUR3GF",TweetDeck,,,False,8823,16,,83190,978,True,en
1254560913572560896,aubrey_huff,.@fox is owned by @Disney along with 5 other mainstream liberal news outlets. Fox is Disney’s conservative outlet to throw us off their agendas. But during this #coronavirus even Fox has sold out. Which leads me to believe something big is on the horizon. #FakeNews #DeepState https://t.co/zme0Tp3cWC,Twitter for iPhone,,,False,39348,60,,77622,244,True,en
1254560922301071361,wef,Why we cannot lose sight of #SDG progress during #COVID19 https://t.co/6Rvrsr9qxa #coronavirus https://t.co/mEpvnGlGWJ,Buffer,,,False,1784,15,,3758106,489,True,en
1254561289654939649,TeamAlbanians,"Albanian musicians Elvana Gjata and Ledri Vula joined forces and hosted an online concert on Instagram during the #COVID19 lockdown. 

This was the result 🔥 https://t.co/B8BK5diDlk",Twitter Web App,,,False,10757,57,,21991,12415,True,en
1254561311989526529,MaryJoe38642126,".@AJEnglish

PLS #Report: It’s #Crucial That #China #BanYulin (6/21) #DogCatMeatTrade &amp; #WetMarkets Permanently 

#Diseased &amp; #Healthy #Cats #Dogs #Caged Together For #Transport...

#Unhygienic Live #Slaughter #Prep #Leads To #Rabies #Viruses/#coronavirus 
https://t.co/deOtURBd4c",Twitter for iPad,,,False,2268,41,,2379,1351,False,en
1254561350673739776,cbngov_akin1,"@NCDCgov #Coronavirus in China
Cases: 82,827
Deaths: 4,632

Spain
Cases: 223,759
Deaths: 23,190

Worldwide.
Cases: 2,930,000
Deaths: 203,000

Coronavirus in the United States
Cases: 925,000
Deaths: 52,100",Twitter for iPhone,1.254549011048149e+18,NCDCgov,False,58175,15,NG,81799,29203,False,en
1254561366301716481,B52Malmet,"America will see ONE MILLION CASES OF #COVID19 THIS WEEK. There are 950,000 confirmed coronavirus cases and more than 54,000 deaths as of this afternoon- according to Johns Hopkins University. It is mind-numbing to think if Trump had acted sooner (or at all) we wouldn't be here.",Twitter Web App,,,False,683729,182,,177853,6825,False,en
1254561438972116994,680NEWS,Americans are poisoning themselves after President Donald Trump speculated about using disinfectants to cure coronavirus. @carynceolin with why Canada is also issuing warnings regarding Trump’s suggested #COVID19 treatments https://t.co/XJuEwzrYvR,Salesforce - Social Studio,,,False,371,18,,362655,378,True,en
1254561479207972864,Megavolts001,"#CoronaVirus
#NewJersey
HALL OF SHAME
New Jersey Public School Teacher Caught on Camera Telling Students She Hopes They Die From Coronavirus For Playing Outside
https://t.co/wtVfaFcv3F https://t.co/YNHMxciAEL",Twitter Web App,,,False,1442,30,,50617,47723,False,en
1254561565451251712,HaidaPrincess,"🔊ON
👇🏾😍'Ashley Callingbull (Apr 26, 2020) #Enoch #Cree Nation, #Alberta. It feels good 2 dance in my new dress &amp; bring 🙏🏾healing 2 our people. ...Sending every1 🙏🏾#prayers &amp; protection during these times.
Hiy Hiy'
#FirstNations #Indigenous #NativeAmericans #coronavirus #COVID19 https://t.co/N1SOF3pD06",Twitter Web Client,,,False,6881,68,,5967,2599,False,en
1254561678663938049,Nikshazz,"If the Naval officer died of Rat fever, why would his deceased body be handled as that of a deceased #COVID19 patient? 🤷🏻‍♀️",Twitter for iPhone,,,False,2718,10,,5804,71,False,en
1254561767440543746,kashthefuturist,These Harvard scientists think we'll have to socially distance until 2022 https://t.co/oBou1VD0YN #coronavirus #lockdown https://t.co/E8VjHnYJkK,Twitter for iPhone,,,False,54898,31,,78358,63825,False,en
1254561900160942083,airnewsalerts,"Two middle-aged Mumbai policemen have succumbed to #COVID19 in quick succession in two days. According to a senior official, these are the first two cases of corona deaths recorded among the Mumbai Police.",TweetDeck,,,False,612,19,,2363866,15,True,en
1254561931379294209,sfchronicle,"Bay Area residents joined famed singer Tony Bennett for the first live-from-everyplace pandemic feel-good sing-along to “I Left My Heart in San Francisco"" — a tribute to the frontline essential workers battling the #coronavirus.

🎥: @Manjulina
For more: https://t.co/Xoksf9eBn0 https://t.co/HbWrXbXu8z",SocialFlow,,,False,2766,18,,210830,236,True,en
1254562049398468610,RampageRantz,"Fact: 
America will never confront our “China problem”, until we admit we got back into the slavery business. The plantations are just not here, where we have to s👀 it! 💯

👇Chinese factories with anti Suicide Nets💀 

#TheMoreYouKnow 

#America #China #COVID19 #MAGA2020 #KAG https://t.co/eMk7wGgAPy",Twitter for iPhone,,,False,8203,169,,10686,6927,False,en
1254562163785695233,RivCoDoc,You'll find continued updates at https://t.co/B0PcBKTHe0. #ruhealth #rivconow #coronavirus #covid-19 https://t.co/BHkHvW9uJO,Hootsuite Inc.,,,False,401,13,,5358,349,False,en
1254562255745630208,GaetanBurgio,"This paper look at the number of #COVID19 publication, how many are #OpenAccess, cited =&gt; numbers are truly insane !

To date &gt; 12,000 papers !!! 68% #OpenAccess, ave citation/paper 2.32, ave @altmetric score 117 for #OA 152 projection 27,000 papers in May https://t.co/r8QogQGY2B https://t.co/RiLiHLF4UW",TweetDeck,,,False,10347,11,,10941,1561,False,en
1254562515096416256,scottbraddock,"For those who asked, Gov @GregAbbott_TX's announcement on reopening Texas businesses is slated for 2:30pm Monday #txlege #Coronavirus",Twitter for Android,,,False,8538,11,,14383,4668,False,en
1254562720600387584,Kon__K,We are still in urgent need of food donations due to #COVID19 at the @ASRC1. I explain here in one minute how you can make safe and contactless food drop offs at our Footscray centre and what we need most. https://t.co/J2SpeRXaxf,Twitter for iPad,,,False,54269,19,,60891,7451,True,en
1254562904919150592,hiddeninmo1,"This vid is definitely worth your time #covid19 #stimuluspackage #CARESAct 

#Trump2020 #TrumpRocks #TheMighty200+ #WeAreTheNewsNow 

Stimulus Checks, $767/week, &amp; Stimulus Grant Updates 4-26-20 https://t.co/0RHldhhRnN via @YouTube",Twitter for iPhone,,,False,25145,13,,12673,13815,False,en
1254562906538041346,HeshmatAlavi,"While most Iranians pass the #coronavirus crisis without state assistance, the Iranian regime added salt on their injuries with hikes in bread prices.
#Iran
https://t.co/QUfxEIQp1Z",TweetDeck,,,False,37594,64,,68387,372,False,en
1254563141704273922,ShelbyKStewart,"Today, 4/26/2020, here are the ramifications of Trump lying to the American people. 

#Covid_19 deaths = 55,383 (reported)

These are human beings, not statistics. #DontLookAway https://t.co/JnGL6Q4EV1",Twitter Web App,,,False,508533,12,,62170,43009,False,en
1254563345841172483,nwmalinowski,"8,000-13,000 more people have died of #COVID19 in NY because @NYCMayor &amp; @NYGovCuomo need their egos stroked. 

Like Trump, they forced doctors to the backbench and made bad decisions that their constituents didn't find credible. 

https://t.co/ybPo3bs1L2",TweetDeck,,,False,4532,13,,10832,3444,False,en
1254563409770643464,htTweets,"#Covid_19 | The government today rejected an “ill-conceived” suggestions by a group of Indian Revenue Service officers to rebuild the nation’s economy

(reports @JayaswalRajeev)

https://t.co/ajDfjM8BbN",TweetDeck,,,False,2979,11,,7370980,129,True,en
1254563428859076608,the_hindu,"With air and rail passenger services suspended due to the COVID-19-induced lockdown, two judges embarked on road journeys — each covering over 2,000 km.
#COVID19 #Kolkata
https://t.co/hxofmxiigk",SocialFlow,,,False,143,11,,6046709,202,True,en
1254563526300938241,airnewsalerts,"Animals at two mink farms in the Netherlands have tested positive for #COVID19. 

The Dutch Ministry of Agriculture says that some staff at the two farms had earlier displayed symptoms of the disease so it is assumed that these are human-to-animal infections. https://t.co/mo61qT06oS",Twitter Web App,,,False,612,20,,2363866,15,True,en
1254563829935005696,ladeedafarzana,"#TabligiHeroes donating plasma for fighting against #COVID19

Meanwhile, 2 Tablighis, who were diabetic patients, died this week due to lack of food and medicine in a quarantine center in Delhi.

@MaktoobMedia
https://t.co/pTaKNfIfOg",Twitter for Android,,,False,886,589,,44077,997,False,en
1254564041319645186,and_kell,Today was a really bad day for my son. They are happening more frequently under #Ohiolockdown. We are using more medication to try &amp; keep him calm (which I hate). All for what? We were lied to. Quarantine the sick/old/immunocompromised. Let the rest of us live. #Covid_19 #autism,Twitter for Android,,,False,125292,39,,3597,1448,False,en
1254564188430536705,dwnews,Thailand's youngest #COVID19 patient has recovered. https://t.co/jR8D3YCsYr,Twitter Media Studio,,,False,3357,70,,367278,727,True,en
1254564206587699200,aubrey_huff,.@donlemon says thousands &amp; thousands of Americans have called their city officials wondering if it’s safe to inject disinfectant to fight #coronavirus. We need a plague that just affects people that even have to ask these questions. 🤦🏻‍♂️,Twitter for iPhone,,,False,39348,85,,77622,244,True,en
1254564249596129281,DarcyJudy,"A wonderful piece by ⁦@robshaw_vansun⁩ about my colleague, BC’s exceptional Minister of Health ⁦@adriandix⁩ : “Adrian Dix and the long road to become the health minister B.C. needs” | Vancouver Sun #bcpoli #bchealth #covid19 #bcndp https://t.co/zUSNqtZ4qL",Twitter for iPhone,,,False,1852,10,,8808,4739,True,en
1254564261885382657,BuffyWicks,"The US has seen almost 1M cases of #COVID19, &amp; over 55k deaths. We’re still consistently losing over 2k Americans/day to #coronavirus — more than 2x the next closest country.

This crisis is far from over.

And yet, this is what the president does w/his time—it’s tragic &amp; toxic👇🏻 https://t.co/HBJgWmo0by https://t.co/HiJVdqD0XP",Twitter for iPhone,,,False,17117,990,,26012,4413,True,en
1254564473400147968,TomthunkitsMind,"‘This administration was not prepared for this crisis. And it put lives at risk!’ — Rep. Gerry Connolly slammed Trump for trying to ‘gaslight’ America about the #coronavirus https://t.co/ImYQfIXqWx 01
#FBR",The Social Jukebox,,,False,22441,14,,70303,66741,False,en
1254564640136273920,JohnRLottJr,"60% of Dems Blame Trump More Than China for #Coronavirus
How can so many blame Trump? #MediaBias
“60% of #Democrats agree with ⁦@ChrisMurphyCT⁩ that Trump is more to blame than China &amp; the WHO. 71% of Rs &amp; unaffiliated voters by 46% to 39% disagree”
#TDS https://t.co/KDQxNQdD9K",Twitter Web App,,,False,2334,18,,30707,456,False,en
