status_id,screen_name,text,source,reply_to_status_id,reply_to_screen_name,is_retweet,favourites_count,retweet_count,country_code,followers_count,friends_count,verified,lang
1252748954460196865,NEJM,Perspective: Not a Perfect Storm — Covid-19 and the Importance of Language. #COVID19,Twitter for Advertisers,,,False,1019,38,,699697,395,True,en
1252748954145603584,UNDP,"""Every breath of air we take, every mouthful of food we eat, depends upon a healthy natural world.""

As humanity faces the global #COVID19 pandemic, Sir. David Attenborough's appeal for nature is more relevant than ever on the 50th anniversary of #EarthDay.

#NewDealForNature https://t.co/UpBg1QOYFd",Twitter Media Studio,,,False,17069,63,,1494334,1587,True,en
1252748954141372417,CGTNOfficial,"The number of confirmed #COVID19 cases around the world has crossed the 2.56 million mark, as the total stands at 2,560,504 as of 10:38 p.m. GMT Tuesday, according to Johns Hopkins University.

The worst-affected U.S. has confirmed 823,257 cases. https://t.co/aMJDqRPO3g",TweetDeck,,,False,68,12,,14014628,65,True,en
1252748953864503296,weathernetwork,"While many countries around the world are practicing social distancing to slow the spread of #COVID19, Sweden is taking a different approach.",Twitter for Advertisers,,,False,23097,10,,1606882,1433,True,en
1252748962626404352,iamritu,"Welcome to #ASEchoJC w @amerjohri @HeartDocSharon @DrGalenMD &amp; me, authors of  https://t.co/HuOdHfbsSK @ASE360 statement on #POCUS &amp; #covid19 

Need rapid, bedside assessment of heart, chest, vessels by POCUS to get real-time info for management decisions for #COVID19 pts https://t.co/wIOnjIkA9h",Twitter for iPhone,,,False,132004,12,US,13953,2181,False,en
1252749078141661184,TheKingCenter,"The King Center presents ‘Manifesting Courage and Resilience,’ a part of the #BelovedCommunityTalks virtual series. Featuring @BerniceKing and @BreneBrown. #Courage #Resilience #Community #COVID19 #MLK

https://t.co/ulkISrFJpX",Twitter Web App,,,False,10149,17,,106578,445,True,en
1252749097620119552,wef,#UniversalBasicIncome is the answer to the inequalities exposed by #COVID19 @UNDP @kanniwignaraja https://t.co/MUvySGUzhc https://t.co/VjlP70GI0q,Buffer,,,False,1784,21,,3747919,489,True,en
1252749106734346241,pnagovph,"TESDA is urging the public to avail of its online courses amid the ECQ due to the #COVID19 pandemic.

#COVID19PH 
#LagingHandaPH 
#WeHealAsOne https://t.co/P0QFStuBiL",Hootsuite Inc.,,,False,6272,14,,12436,313,True,en
1252749115374657537,PittTweet,Tonight we light up the Cathedral of Learning in recognition for all those working on front lines of the #COVID19 outbreak. We can't thank you enough for your work to keep us safe. #LoveFromPGH #H2P ✨ https://t.co/kwjQkcT3Qf,Falcon Social Media Management ,,,False,15587,51,,49819,1837,True,en
1252749131933761536,GuillaumeLong,"Great initiative by Congresspersons @RepChuyGarcia @janschakowsky @RepMarkTakano. 3 responses that US government should implement now so global South can fight #COVID19: 1 Suspension of debt payments to IFIs, 2 no conditionalities reducing health care budgets, 3 #3trillionSDRnow https://t.co/sunaY86lND https://t.co/AHdAqo9us8",Twitter for iPhone,,,False,444,19,,99937,2610,True,en
1252749142633451521,IsraelinNewYork,"Join our #zoom this Thursday! We will be hosting our experts from ""Israel Trauma Coalition"" to present a webinar on mental health- the Israeli perspective. #StrongerTogether #coronavirus
 https://t.co/wR2xDT7rYN https://t.co/ZANK9wODRd",Twitter for Android,,,False,7210,13,,48465,895,True,en
1252749178704281601,GarfieldEATSapp,"Join founder #nathenmazri on a conf call with you, #fanvestors to discuss anything &amp; everything from #GarfieldEATS, licensing, #business,#success, personal development, advice to #COVID19...#Together,we are stronger. Let's get closer! @zoom_us
Love me,feed me,don't leave me https://t.co/1KhP5tkcgc",Twitter for Android,,,False,301,10,,3697,350,True,en
1252749355980746752,MaryJoe38642126,".@travisbarker 

PLS #SpeakOut: It’s #Crucial That #China #BanYulin #DogCatMeatTrade #WetMarkets Permanently

#Sick #Healthy #Dogs #Cats..#Caged Together For #Transport..

#Unhygienic Live #Slaughter = #BreedingGround For #Rabies #Viruses Like #Covid19 

https://t.co/0BogvJEHTb",Twitter for iPhone,,,False,2261,18,,2370,1352,False,en
1252749457411760135,umpattirecom,"When you want ⚾️ &amp; 🥎 back in your eyes.
#umplife #coronavirus #sayanything #MissingYou https://t.co/4v28RWwIyn",Twitter Web App,,,False,6551,15,,5420,2964,False,en
1252749556145623041,Priscillas_View,Please let the silver lining of #COVID19 be that the journalist who don’t print or speak truth be exposed for wanting the United States to fail.,Twitter for iPhone,,,False,4001,29,,3452,839,False,en
1252749595756683264,iamritu,"Q1) Why do POCUS in COVID-19 Infection? #ASEchoJC 
1. Detect  pre-existing CVD
2. Early ID of worsening 
 fxn frm pre-existing cvd
or #covid19
3. Monitor changes in 
 fxn over time 
4a.r/o pericardial effusion/myocarditis 
b.RV size/fxn, acute PHtn 
c. LV sys FXn global/regional https://t.co/p9hsSSlVqP",Twitter for iPhone,,,False,132004,32,US,13953,2181,False,en
1252749606431199233,addicted2newz,"Since the start of the #coronavirus crisis:

UK - Over 1 BILLION items of PPE delivered

EU - Fuck all

I can't imagine how stupid our remainer MSM must feel right now. 😂😂😂",Twitter Web App,,,False,79858,596,,22501,9983,False,en
1252749617654980615,zaharako,"45,105 dead Americans in 6 weeks. Have we made America great yet?! #MAGA #TrumpGenocide #coronavirus https://t.co/eYjtnPxZa8",Twitter Web App,,,False,16268,19,,21261,9986,False,en
1252749650437832704,SamanthaPippin7,"You’ve inadvertently proved every #NHS and care worker, right. What you’re wearing is woefully inadequate #PPE for treating #coronavirus patients. Did you mistake the British ppl for being as unintelligent as you? Oh dear..... https://t.co/5jagdcu8bC",Twitter for iPhone,,,False,127130,69,,8536,6560,False,en
1252749660869058561,Chikwe_I,"In Ogun State, I met with H.E Governor @dabiodunMFR, HC @drtomicoker &amp; the Team leading the state’s response to #COVID19

With its industial base,proximity to Lagos,we remain strongly committed to working with the state in strengthening their response capacity

#KeepPushing #Ogun https://t.co/h9VnfuE3TA",Twitter for iPhone,,,False,25600,162,,104580,1033,True,en
1252749691843948544,francisdeng,"What findings on chest CT should be reported as typical, indeterminate, or atypical for #COVID19?

@JonHeroChung explains for @Radiopaedia the @RSNA Consensus Statement in this video: https://t.co/BRLp4R1Yvh

Find the article @Radiology_rsna: https://t.co/03sJ1vgnUD https://t.co/M3RwExpKko",Twitter Web App,,,False,7756,28,,3453,2427,False,en
1252749792314191872,DrLee4America,"#AGBarr @TheJusticeDept OUTRAGEOUS‼️Gross Over-reach violation of #CivilLiberties 
PLUS:
Medically, it is HEALTHIER to be outside. Sunshine + exercise IMPROVE #ImmuneSystem and circulating fresh air reduces viral density that occurs inside homes.  STOP the #COVID19 #PoliceState‼️ https://t.co/Ibnhu42OV2",Twitter for iPhone,,,False,52954,194,,78909,40189,False,en
1252749868470132737,RedCollie1,"#coronavirus New antibody tests out of Stanford and USC show that 4% of people have been infected there. 
The RT-PCR test gives 40 to 80 times less!
This lockdown has been a sham.
Please copy and share with independent posts to avoid Twitter censorship.
https://t.co/8ywACpmUXB",Twitter Web App,,,False,5846,21,,4820,3537,False,en
1252749958291177472,BrandiKruse,"NEW: Governor Inslee says he's hopeful in coming days that they can lift some restrictions on:

-Construction 
-Outdoor recreation
-Elective surgeries 

#Q13FOX #Coronavirus",Twitter Web App,1.2527495885926564e+18,BrandiKruse,False,6060,26,,14776,1154,True,en
1252749973352898561,MaryJoe38642126,".@MYAPLANET9 

🙏🏽#SpeakOut: It’s #Crucial That #China #BanYulin #DogCatMeatTrade #WetMarkets Permanently

#Healthy &amp; #Sick #Cats #Dogs #Caged Together For #Transport..

#Unsanitary Live #Slaughter #Preparation Leads To #Rabies #Viruses Like #coronavirus 

https://t.co/xVGFxWDepm",Twitter for iPhone,,,False,2261,19,,2371,1352,False,en
1252749991921299456,AprilDRyan,Migrants w/#coronavirus being deported to #Haiti and #Guatemala. @BennieGThompson speaks about the impact on fragile health care systems. Source: Effort underway to curb #deportation of migrants w/#COVID19. @AURNOnline #AURN report https://t.co/TEKjOQAKSD,Twitter Web App,,,False,22899,40,,618545,5177,True,en
1252750095088447488,MichaelKIRO7,Gov. Inslee says he will not be able to lift many of the current restrictions by May 4th #COVID19,Twitter for iPhone,,,False,8790,11,,4215,1000,True,en
1252750212516339712,UNICEF,"Even though students are out of school due to #COVID19 - they are still learning.

This #EarthDay, join @TheWorldsLesson to find out how you can take climate action with your family.",Twitter for Advertisers,,,False,15131,150,,8196867,23636,True,en
1252750212491173888,UN,"#COVID19 is a stark reminder of the vulnerability of humans and the planet in the face of global threats.

On Wednesday's #EarthDay, @UNEP explains why the need for #ClimateAction is as urgent as ever.  
https://t.co/vdKx4iMyKP",TweetDeck,,,False,1453,280,,12406444,1182,True,en
1252750212457775104,MOEducation,So proud of our Missouri schools and their dedicated staff members for serving nearly 1.3 million meals to students during #COVID19 building closures! #ShowMeSuccess https://t.co/KyaM8Yr8oX,TweetDeck,,,False,8083,19,,21984,1823,True,en
1252750229406994438,Aaron_Derfel,"1) In five weeks since the World Health Organization declared #COVID19 a pandemic, the number of cases in Montreal has soared exponentially from just two on March 11 to 9,348 on Tuesday. In this thread, I will show how the pandemic is spreading in insidious ways across the city. https://t.co/46Nivu5oJ9",Twitter Web App,,,False,1528,79,,4930,215,True,en
1252750267055050760,thelauracoates,"My heart breaks for the family of this sweet soul #SkylarHerbert. She was just five years-old, the daughter of #Detroit first responders, and her life has now been claimed by #coronavirus. What an overwhelming &amp; tragic loss. I see my own daughter in her. https://t.co/SSXkbNK6eZ",Hootsuite Inc.,,,False,4867,36,,67600,629,True,en
1252750441772957698,elenaparent,"Georgia’s #COVID19 curve doesn’t look like like “We defeated this monster, time to open up GA” to me.  #gapol https://t.co/y156NZ10VH",Twitter for iPhone,,,False,5311,21,,6630,942,False,en
